#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -120.020   -127.790    -28.240    173.930     91.530
      0.100   -100.778   -101.953   -117.862    -16.128    187.418    107.023
      0.200   -101.595    -82.485   -106.242     -0.203    201.931    125.391
      0.300   -100.529    -61.518    -92.584     21.526    217.412    147.768
      0.400    -96.816    -38.983    -76.398     52.721    233.298    175.953
      0.500    -89.142    -14.956    -56.959    100.764    247.233    212.815
      0.600    -75.000      9.893    -33.213    182.089    249.742    262.115
      0.700    -49.280     32.316     -4.177    332.297    198.727    318.602
      0.800     -7.472     41.093     23.370    503.857    -23.185    232.340
      0.900     38.958     29.861     37.756    424.751   -201.455     55.374
      1.000     75.564      7.786     38.888    307.370   -240.043    -32.741
      1.100    102.141    -16.025     33.696    224.166   -236.186    -71.098
      1.200    121.665    -38.933     25.698    166.322   -221.981    -88.863
      1.300    136.188    -60.320     16.391    124.141   -205.745    -97.277
      1.400    146.990    -80.095      6.480     91.904   -189.760   -100.941
      1.500    154.901    -98.315     -3.659     66.308   -174.634   -101.831
      1.600    160.491   -115.074    -13.754     45.496   -160.553   -100.068
      1.700    164.173   -130.473    -23.636     28.145   -147.430    -97.571
      1.800    166.249   -144.601    -33.245     13.373   -135.132    -94.611
      1.900    166.947   -157.535    -42.543      0.581   -123.533    -91.343
      2.000    166.443   -169.337    -51.503    -10.653   -112.518    -87.859
      2.100    164.879   -180.063    -60.107    -20.635   -101.992    -84.215
      2.200    162.368   -189.756    -68.340    -29.591    -91.870    -80.445
      2.300    159.003   -198.453    -76.190    -37.694    -82.082    -76.565
      2.400    154.865   -206.186    -83.648    -45.077    -72.565    -72.586
      2.500    150.019   -212.977    -90.702    -51.843    -63.262    -68.509
      2.600    144.523   -218.846    -97.344    -58.076    -54.124    -64.333
      2.700    138.427   -223.808   -103.563    -63.840    -45.106    -60.050
      2.800    131.775   -227.871   -109.348    -69.189    -36.165    -55.650
      2.900    124.608   -231.043   -114.687    -74.164    -27.260    -51.122
      3.000    116.960   -233.323   -119.566    -78.798    -18.352    -46.449
      3.100    108.864   -234.711   -123.969    -83.118     -9.399    -41.612
      3.200    100.351   -235.199   -127.879    -87.141     -0.363    -36.590
      3.300     91.450   -234.777   -131.276    -90.880      8.800    -31.355
      3.400     82.189   -233.430   -134.138    -94.342     18.135    -25.878
      3.500     72.595   -231.139   -136.437    -97.527     27.692    -20.119
      3.600     62.698   -227.878   -138.145   -100.425     37.526    -14.037
      3.700     52.525   -223.617   -139.226   -103.022     47.700     -7.576
      3.800     42.110   -218.318   -139.638   -105.289     58.287     -0.672
      3.900     31.486   -211.934   -139.334   -107.185     69.374      6.757
      4.000     20.694   -204.413   -138.256   -108.650     81.063     14.812
      4.100      9.782   -195.685   -136.334   -109.596     93.481     23.624
      4.200     -1.193   -185.672   -133.485   -109.896    106.785     33.362
      4.300    -12.155   -174.274   -129.604   -109.362    121.175     44.253
      4.400    -23.009   -161.370   -124.561   -107.714    136.907     56.603
      4.500    -33.621   -146.809   -118.189   -104.514    154.320     70.846
      4.600    -43.799   -130.399   -110.266    -99.055    173.865     87.611
      4.700    -53.258   -111.899   -100.493    -90.130    196.147    107.850
      4.800    -61.541    -90.994    -88.447    -75.528    221.954    133.068
      4.900    -67.859    -67.288    -73.506    -50.834    252.159    165.752
