#         t          x          y          z         vx         vy         vz
      0.000   -476.250    491.440   -412.400     44.340    101.220    141.390
      0.071   -472.900    498.940   -402.000     50.120    107.170    147.800
      0.143   -469.160    506.720   -391.350     58.020    111.730    151.010
      0.214   -464.790    514.930   -380.270     63.630    116.210    160.090
      0.286   -459.950    523.450   -368.470     72.270    124.960    171.100
      0.357   -454.420    532.530   -355.770     82.680    129.030    183.840
      0.429   -448.030    541.910   -342.380     94.750    133.400    191.160
      0.500   -440.790    551.460   -328.410    107.370    134.080    200.580
      0.571   -432.340    561.200   -313.620    130.800    138.140    212.260
      0.643   -422.210    570.950   -298.040    153.990    135.580    225.410
      0.714   -410.390    580.400   -281.570    178.990    127.220    236.460
      0.786   -396.670    588.940   -264.510    206.310    112.790    241.550
      0.857   -380.890    596.320   -247.030    237.730     93.210    246.690
      0.929   -362.900    601.850   -229.330    265.180     60.810    247.720
      1.000   -343.380    605.140   -212.060    279.320     31.320    237.270
      1.071   -323.170    606.320   -195.640    286.860      1.920    220.580
      1.143   -302.700    605.490   -180.470    286.500    -25.060    204.070
      1.214   -282.370    602.780   -166.500    281.220    -52.080    188.090
      1.286   -262.550    598.410   -153.510    273.300    -68.560    176.580
      1.357   -243.340    592.970   -141.410    263.410    -81.630    163.820
      1.429   -224.760    586.580   -130.150    255.680    -97.030    149.650
      1.500   -206.960    579.260   -119.880    243.950   -107.290    138.180
      1.571   -189.860    571.290   -110.360    236.130   -116.020    129.740
      1.643   -173.310    562.800   -101.460    226.570   -121.630    120.480
      1.714   -157.450    553.810    -93.100    217.750   -131.120    113.580
      1.786   -142.250    544.280    -85.330    208.030   -135.620    104.700
      1.857   -127.700    534.390    -78.130    200.150   -142.040     97.210
      1.929   -113.730    524.070    -71.450    191.400   -147.290     90.740
      2.000   -100.350    513.300    -65.140    183.370   -154.000     85.240
      2.071    -87.650    502.100    -59.280    171.790   -157.810     79.140
      2.143    -75.570    490.800    -53.840    167.730   -158.290     72.690
      2.214    -63.970    479.350    -48.920    156.480   -162.070     68.060
      2.286    -52.970    467.600    -44.190    151.550   -165.820     63.750
      2.357    -42.390    455.620    -39.880    145.210   -169.640     58.700
      2.429    -32.390    443.400    -35.730    136.430   -171.140     56.450
      2.500    -23.090    431.100    -31.790    125.530   -175.880     53.640
      2.571    -14.370    418.430    -28.230    117.840   -179.970     45.560
      2.643     -6.260    405.430    -25.010    109.840   -185.200     43.790
      2.714      1.340    392.080    -22.050    103.000   -186.630     37.940
      2.786      8.500    378.680    -19.500     98.370   -189.840     33.840
      2.857     15.140    364.850    -17.150     88.120   -196.560     29.940
      2.929     21.010    350.700    -15.150     77.670   -200.240     25.220
      3.000     26.240    336.280    -13.510     68.520   -203.600     22.210
      3.071     30.760    321.560    -12.010     57.240   -208.830     18.700
      3.143     34.550    306.500    -10.760     47.640   -213.630     15.200
      3.214     37.580    291.100     -9.900     36.070   -218.620      8.850
      3.286     39.580    275.290     -9.500     21.460   -222.900      3.880
      3.357     40.540    259.230     -9.360      5.760   -227.870     -0.210
      3.429     40.220    242.800     -9.550    -13.900   -231.280     -6.230
      3.500     38.620    226.030    -10.320    -31.260   -237.900    -13.850
      3.571     35.610    208.790    -11.540    -53.660   -244.330    -20.130
      3.643     30.890    191.190    -13.340    -79.500   -246.340    -32.970
      3.714     23.960    173.660    -16.020   -114.540   -243.020    -43.370
      3.786     14.530    156.620    -19.610   -151.500   -232.330    -56.600
      3.857      2.460    140.750    -24.230   -187.640   -210.100    -71.500
      3.929    -12.110    126.710    -29.620   -220.860   -179.010    -81.120
      4.000    -28.800    115.720    -35.590   -247.180   -128.830    -83.940
      4.071    -46.960    108.490    -41.490   -257.500    -70.840    -79.300
      4.143    -65.200    105.860    -46.860   -250.190     -2.360    -66.310
      4.214    -82.110    108.250    -50.970   -219.180     67.860    -48.820
      4.286    -96.070    115.270    -53.690   -166.600    123.500    -28.280
      4.357   -105.730    125.350    -54.970   -104.260    155.200     -8.280
      4.429   -111.080    137.030    -55.020    -46.970    168.810      6.280
      4.500   -112.620    149.090    -54.160      0.820    169.320     15.440
      4.571   -111.100    161.070    -52.680     39.010    165.350     24.920
      4.643   -107.050    172.650    -50.620     71.900    159.830     30.780
      4.714   -100.820    183.800    -48.140    101.160    152.980     37.870
      4.786    -92.700    194.430    -45.030    126.410    145.480     48.060
      4.857    -82.930    204.490    -41.150    148.240    137.440     59.900
      4.929    -71.700    214.010    -36.440    166.490    130.370     71.920
      5.000    -59.200    222.990    -30.830    184.370    124.280     86.370
      5.071    -45.370    231.700    -24.000    205.060    120.890    106.340
      5.143    -29.940    240.060    -15.170    230.950    114.280    145.210
      5.214    -12.660    247.450     -2.660    255.210     86.300    213.520
      5.286      5.130    250.730     15.190    232.340     -5.260    277.390
      5.357     19.790    247.390     34.530    180.110    -80.520    258.770
      5.429     31.170    240.440     51.580    142.260   -112.700    221.160
      5.500     40.410    231.850     66.000    117.290   -131.900    184.190
      5.571     48.090    222.140     78.140     95.400   -142.040    155.190
      5.643     54.370    211.800     88.150     78.610   -150.100    126.510
      5.714     59.520    200.890     96.380     62.810   -158.400    104.200
      5.786     63.600    189.560    102.970     48.900   -161.850     81.560
      5.857     66.720    177.920    107.900     33.970   -168.740     59.140
      5.929     68.790    166.060    111.240     19.950   -166.950     36.050
      6.000     69.920    154.140    112.970      8.700   -168.460     10.200
      6.071     70.170    142.300    113.040     -2.930   -165.030    -11.140
      6.143     69.510    130.670    111.400    -19.220   -161.030    -37.140
      6.214     67.780    119.410    107.840    -31.080   -153.960    -64.870
      6.286     65.140    108.850    102.280    -48.370   -141.670    -97.900
      6.357     61.480     99.290     94.440    -63.360   -125.340   -129.830
      6.429     56.760     91.120     84.360    -75.710   -103.170   -164.980
      6.500     51.120     84.780     71.900    -90.310    -72.370   -196.980
      6.571     44.420     81.090     57.220   -102.760    -25.780   -229.960
      6.643     37.180     81.090     40.580   -108.400     34.490   -253.840
      6.714     29.850     86.010     23.030   -100.140    114.940   -253.760
      6.786     23.780     96.240      6.610    -75.060    185.540   -216.960
      6.857     19.800    110.260     -6.140    -39.160    224.850   -152.260
      6.929     18.170    125.730    -14.530     -8.650    229.980    -87.960
      7.000     18.490    140.910    -18.950     21.010    215.690    -36.650
      7.071     20.420    154.860    -20.230     40.400    194.470      3.760
      7.143     23.590    167.320    -19.080     55.430    170.900     35.840
      7.214     27.670    178.070    -15.870     65.210    145.090     62.910
      7.286     32.470    187.070    -10.880     77.110    119.820     86.490
      7.357     38.030    194.200     -4.550     85.540     89.680    104.440
      7.429     44.070    199.380      2.970     93.270     64.690    122.760
      7.500     50.600    202.640     11.550     99.030     33.190    133.950
      7.571     57.440    203.760     20.770    103.000      2.480    143.120
      7.643     64.430    202.780     30.480    101.770    -29.810    153.090
      7.714     71.410    199.590     40.710    102.200    -64.500    161.520
      7.786     78.320    194.150     51.220    105.010   -101.130    163.890
      7.857     85.200    186.310     61.690    101.610   -139.710    161.870
      7.929     91.960    175.760     71.950     97.300   -186.380    155.880
      8.000     98.230    162.400     81.640     89.350   -231.860    143.590
      8.071    103.680    145.910     90.120     70.200   -283.540    116.350
      8.143    107.810    126.470     96.290     45.480   -328.150     67.430
      8.214    109.950    104.750     98.620      8.180   -351.840     -6.230
      8.286    109.480     82.870     95.950    -36.610   -327.970    -89.020
      8.357    106.430     63.980     88.640    -71.100   -263.010   -150.500
      8.429    101.790     49.670     78.620    -84.110   -186.100   -180.320
      8.500     96.740     40.060     67.620    -82.800   -114.190   -183.600
      8.571     91.830     34.690     56.950    -76.240    -49.760   -175.660
      8.643     87.420     32.740     47.200    -68.250     -3.230   -156.450
      8.714     83.690     33.570     39.030    -48.060     35.810   -131.810
      8.786     81.050     36.690     32.700    -25.910     69.260   -105.140
      8.857     79.610     41.540     28.270     -4.220     93.520    -76.230
      8.929     79.350     47.760     25.940     12.710    114.560    -41.220
      9.000     80.250     54.930     25.800     30.520    131.850     -3.230
      9.071     82.490     62.670     27.840     48.860    139.770     35.250
      9.143     86.050     70.680     32.190     67.650    143.700     80.870
      9.214     90.870     78.490     39.050     88.320    139.270    125.860
      9.286     97.270     85.790     48.470    116.640    127.150    175.700
      9.357    105.550     91.820     60.790    150.060     97.470    229.180
      9.429    115.710     95.330     76.100    183.500     37.160    280.290
      9.500    127.530     94.420     93.780    208.090    -55.900    310.180
      9.571    140.100     87.150    111.690    206.110   -174.160    286.980
      9.643    151.350     74.100    126.310    164.060   -244.760    205.900
      9.714    159.810     58.870    135.880    116.220   -258.570    124.850
      9.786    165.510     44.050    141.140     71.810   -239.980     61.030
      9.857    169.110     30.760    143.180     27.060   -202.140     22.350
      9.929    170.880     19.470    142.760      1.900   -155.500    -25.300
     10.000    171.300     10.440    140.480    -12.280   -109.060    -67.750
     10.071    170.550      3.810    136.670    -24.480    -69.090    -89.030
     10.143    168.730     -0.300    131.760    -39.970    -28.030   -104.140
     10.214    166.140     -1.820    126.100    -49.350      9.400   -115.970
     10.286    162.930     -0.530    120.030    -56.200     61.030   -125.810
     10.357    159.200      3.880    113.990    -78.370    119.100   -124.720
     10.429    155.310     11.820    108.420    -81.890    195.380   -104.410
     10.500    151.950     23.720    104.740    -59.010    274.170    -49.400
     10.571    150.740     39.060    104.860     -1.880    317.400     42.910
     10.643    153.070     54.250    110.140     69.680    275.580    136.900
     10.714    158.450     65.770    118.920    110.770    188.700    180.220
     10.786    165.520     72.840    128.950    107.440     96.190    196.770
     10.857    173.170     75.890    139.010    119.680      7.930    184.470
     10.929    180.910     75.620    148.290    118.730    -73.260    150.310
     11.000    188.200     72.380    156.460    106.690   -125.310    118.290
     11.071    194.860     66.650    163.170     88.240   -169.990     82.410
     11.143    200.620     58.840    168.120     75.960   -187.730     36.810
     11.214    205.090     49.350    171.130     53.660   -214.220     -4.890
     11.286    207.970     38.600    171.890     37.680   -232.880    -24.660
     11.357    209.020     27.010    170.050     10.930   -239.760    -48.080
