#         t          x          y          z         vx         vy         vz
      0.000     -0.890      2.340     -1.430     -1.180      5.390     -1.630
      0.071     -1.120      2.430     -1.490     -2.380      5.050     -0.760
      0.143     -1.540      2.730     -1.570     -6.260      8.980     -0.920
      0.214     -1.980      3.290     -1.600     -3.890      7.430     -0.060
      0.286     -2.340      3.820     -1.610     -5.320      6.990      0.430
      0.357     -2.600      4.390     -1.580     -7.450      5.970      0.270
      0.429     -3.020      5.050     -1.640     -6.490     12.930     -2.260
      0.500     -3.310      5.680     -1.830     -3.080      8.650     -3.530
      0.571     -3.610      6.160     -2.030     -4.430      5.070     -2.430
      0.643     -4.030      6.600     -2.200     -6.930      5.030     -1.440
      0.714     -4.530      7.190     -2.290     -6.890      7.870     -1.670
      0.786     -5.030      8.070     -2.550     -6.650     12.390     -6.710
      0.857     -5.400      8.890     -3.090     -8.980      7.320     -9.050
      0.929     -6.020      9.640     -3.650    -10.960     10.850     -8.630
      1.000     -6.580     10.350     -4.290     -5.010     12.800     -8.270
      1.071     -6.970     11.000     -4.880     -5.520     11.520    -10.130
      1.143     -7.480     11.940     -5.610     -7.310     17.160    -12.040
      1.214     -8.060     13.150     -6.380     -6.530     15.330    -10.740
      1.286     -8.740     14.370     -7.150    -11.490     15.630    -10.390
      1.357     -9.420     15.800     -7.940     -9.800     19.820    -11.150
      1.429    -10.010     17.080     -8.820    -11.800     14.170    -13.780
      1.500    -10.700     18.330     -9.820    -11.890     20.530    -14.770
      1.571    -11.450     19.810    -10.840    -11.290     24.770    -16.180
      1.643    -12.300     21.540    -11.790    -12.910     25.700    -12.440
      1.714    -13.220     23.400    -12.730    -12.090     26.370    -13.400
      1.786    -14.180     25.250    -13.750    -14.230     25.140    -15.990
      1.857    -15.330     27.230    -14.810    -18.290     28.960    -15.130
      1.929    -16.670     29.410    -15.770    -21.640     30.740    -14.990
      2.000    -18.210     31.740    -16.870    -21.900     34.670    -16.310
      2.071    -19.830     34.300    -17.990    -21.370     41.280    -15.830
      2.143    -21.310     37.020    -19.180    -17.550     39.630    -16.620
      2.214    -22.770     39.910    -20.430    -19.020     40.100    -19.560
      2.286    -24.370     42.790    -21.840    -23.310     38.930    -20.410
      2.357    -26.050     45.880    -23.170    -22.430     43.180    -19.460
      2.429    -27.690     49.030    -24.500    -24.770     42.230    -19.550
      2.500    -29.380     52.300    -25.890    -25.270     50.550    -20.290
      2.571    -31.030     55.970    -27.350    -24.810     53.150    -21.440
      2.643    -32.820     59.690    -28.770    -26.330     54.360    -19.950
      2.714    -34.790     63.540    -30.280    -27.640     54.460    -21.310
      2.786    -36.900     67.660    -31.900    -29.270     60.840    -24.050
      2.857    -39.070     72.170    -33.620    -29.490     63.320    -23.870
      2.929    -41.200     76.840    -35.400    -30.730     66.870    -27.610
      3.000    -43.300     81.880    -37.410    -32.870     73.030    -29.120
      3.071    -45.390     87.360    -39.450    -30.110     79.260    -28.220
      3.143    -47.670     93.140    -41.500    -33.490     82.690    -30.040
      3.214    -50.190     99.190    -43.670    -36.940     86.480    -30.180
      3.286    -52.910    105.620    -45.760    -38.880     91.050    -29.280
      3.357    -55.730    112.490    -47.930    -42.810     98.330    -31.030
      3.429    -58.740    120.010    -50.140    -43.650    109.670    -32.050
      3.500    -61.760    128.300    -52.280    -40.350    123.100    -30.310
      3.571    -64.770    137.300    -54.360    -43.670    131.900    -28.340
      3.643    -67.920    147.380    -56.330    -43.070    149.860    -28.090
      3.714    -71.020    158.830    -58.080    -41.930    170.670    -21.190
      3.786    -74.170    171.790    -59.260    -42.470    193.050    -11.440
      3.857    -77.040    186.720    -59.400    -35.600    226.210      9.300
      3.929    -78.670    204.360    -57.240     -5.830    265.730     57.380
      4.000    -76.830    223.060    -50.360     58.800    246.840    129.500
      4.071    -71.350    238.280    -40.080     90.130    183.160    148.730
      4.143    -64.950    249.230    -30.130     85.290    126.590    129.840
      4.214    -59.050    256.930    -21.890     76.000     90.700    103.830
      4.286    -53.840    262.380    -15.180     67.390     65.480     85.280
      4.357    -49.090    266.220     -9.690     63.000     43.780     72.570
      4.429    -44.720    268.660     -5.010     59.390     25.650     62.780
      4.500    -40.550    270.020     -0.930     58.990     10.120     52.030
      4.571    -36.470    270.160      2.720     55.090     -7.030     48.960
      4.643    -32.660    269.360      6.060     51.150    -17.690     43.180
      4.714    -29.010    267.760      9.020     51.800    -28.290     37.890
      4.786    -25.430    265.300     11.630     50.620    -40.660     32.830
      4.857    -21.880    262.080     13.940     49.130    -51.210     30.530
      4.929    -18.520    258.110     16.050     45.590    -60.210     27.670
      5.000    -15.460    253.380     17.810     41.530    -69.900     21.500
